,cmplnt_num,cmplnt_fr_dt,crm_atpt_cptd_cd,juris_desc,law_cat_cd,loc_of_occur_desc,ofns_desc,susp_age_group,susp_race,susp_sex,vic_age_group,vic_race,vic_sex,latitude,longitude
940,537061948,2021-12-22T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,MISDEMEANOR,UNKNOWN,CRIMINAL MISCHIEF & RELATED OF,UNKNOWN,UNKNOWN,UNKNOWN,18-24,WHITE HISPANIC,M,40.60348752400005,-73.74529262299995
941,760375714,2021-12-28T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,UNKNOWN,CRIMINAL MISCHIEF & RELATED OF,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D,40.69342910100005,-73.95915157399996
942,196042341,2021-12-30T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,MISDEMEANOR,UNKNOWN,POSSESSION OF STOLEN PROPERTY,UNKNOWN,UNKNOWN,UNKNOWN,25-44,ASIAN / PACIFIC ISLANDER,M,40.73805079700002,-73.88046944099993
943,535768621,2021-12-31T00:00:00.000,COMPLETED,N.Y. HOUSING POLICE,MISDEMEANOR,UNKNOWN,ASSAULT 3 & RELATED OFFENSES,UNKNOWN,UNKNOWN,UNKNOWN,45-64,BLACK,F,40.77280890800005,-73.93302138299998
944,201771665,2021-12-28T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,MISDEMEANOR,UNKNOWN,PETIT LARCENY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D,40.77021126900007,-73.98224260599994
945,882495407,2021-12-27T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,MISDEMEANOR,UNKNOWN,PETIT LARCENY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D,40.78166278200007,-73.83443908599996
946,366070299,2021-12-28T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,MISDEMEANOR,UNKNOWN,PETIT LARCENY,UNKNOWN,UNKNOWN,UNKNOWN,45-64,WHITE,F,40.65735150300002,-73.95840237599998
947,447388670,2021-12-29T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,UNKNOWN,BURGLARY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D,40.73282833200005,-73.986062857
948,218223112,2021-12-24T00:00:00.000,COMPLETED,N.Y. TRANSIT POLICE,MISDEMEANOR,UNKNOWN,ASSAULT 3 & RELATED OFFENSES,UNKNOWN,UNKNOWN,UNKNOWN,25-44,WHITE HISPANIC,M,40.746820464000045,-73.89175345599993
949,862159387,2021-12-21T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,VIOLATION,UNKNOWN,HARRASSMENT 2,UNKNOWN,UNKNOWN,UNKNOWN,65+,WHITE,M,40.704113730000074,-73.93390190199995
950,897530195,2021-12-23T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,MISDEMEANOR,UNKNOWN,CRIMINAL MISCHIEF & RELATED OF,UNKNOWN,UNKNOWN,UNKNOWN,45-64,WHITE,M,40.78589784300004,-73.97075510799993
951,483163125,2021-11-30T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,VIOLATION,UNKNOWN,HARRASSMENT 2,UNKNOWN,UNKNOWN,UNKNOWN,45-64,BLACK HISPANIC,M,40.63406482200002,-74.13462345899995
952,914666883,2021-12-23T00:00:00.000,COMPLETED,N.Y. HOUSING POLICE,MISDEMEANOR,UNKNOWN,ASSAULT 3 & RELATED OFFENSES,UNKNOWN,UNKNOWN,UNKNOWN,45-64,BLACK,F,40.799232486000044,-73.93305619799997
953,598833345,2021-12-29T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,UNKNOWN,ROBBERY,UNKNOWN,UNKNOWN,UNKNOWN,25-44,WHITE HISPANIC,M,40.85406302600006,-73.90478382299993
954,877123203,2021-12-24T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,UNKNOWN,CRIMINAL MISCHIEF & RELATED OF,UNKNOWN,UNKNOWN,UNKNOWN,45-64,WHITE,F,40.58599848500006,-74.15178280499998
955,278558331,2021-12-31T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,FELONY,UNKNOWN,MISCELLANEOUS PENAL LAW,UNKNOWN,UNKNOWN,UNKNOWN,25-44,WHITE HISPANIC,F,40.80171720800007,-73.93435039399996
956,766149758,2021-12-24T00:00:00.000,COMPLETED,N.Y. POLICE DEPT,MISDEMEANOR,UNKNOWN,PETIT LARCENY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,D,40.75238791700008,-73.97327466399997
